"name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"Stylish 3/2/2 with large backyard",1282837,"Joseph",null,78745,30.19037,-97.79003,"Entire home/apt",191,30,59,"2021-09-25",0.56,2,236,4,null
"Historic SOUTHAustin Retro Groovy LOFT 78704 proud",167892,"Veronica",null,78704,30.25525,-97.75756,"Entire home/apt",141,2,375,"2021-09-19",8.99,1,152,43,null
"Spanish Hacienda mile from downtown",1566930,"Chris",null,78702,30.2733,-97.7269,"Private room",60,2,286,"2021-09-26",4.21,1,346,27,null
"Big cute clean Casita in SxSAustin!",1568741,"Jim O'",null,78745,30.20943,-97.77117,"Entire home/apt",70,3,143,"2021-10-04",1.23,12,353,30,null
"2 bdrm Condo at  360 Bridge",1614097,"Denise",null,78730,30.35672,-97.79621,"Entire home/apt",350,4,0,null,null,1,0,0,null
"Very convenient for SxSW",1617870,"John",null,78745,30.21467,-97.77901,"Entire home/apt",600,3,2,"2013-03-22",0.02,1,362,0,null
"""Hip, convenient home in 78704!""",1626165,"Gretchen",null,78704,30.25472,-97.75562,"Entire home/apt",400,3,9,"2015-03-24",0.08,1,0,0,null
"█ Swanky Townhome+Rooftop | Downtown | 6th Street!",814883,"Kristen",null,78702,30.26585,-97.73328,"Entire home/apt",650,1,251,"2021-09-27",2.15,12,308,18,null
"Quaint East Austin 2BR SXSW 2016",1640158,"Jeremy",null,78702,30.25328,-97.72968,"Entire home/apt",694,4,2,"2015-03-18",0.02,1,0,0,null
"The Perfect Austin Modern Home",1640172,"Gary",null,78724,30.28354,-97.64966,"Entire home/apt",189,2,138,"2021-10-11",1.18,2,139,54,null
"Avail ACL: 3/2 Mid-Century Mod-Central Austin",1644741,"Liz",null,78704,30.25398,-97.77856,"Entire home/apt",679,2,1,"2018-06-23",0.02,1,0,0,null
"3/2 House w/ Pool in Barton Hills",1142525,"James",null,78704,30.25104,-97.78973,"Entire home/apt",500,1,13,"2015-10-04",0.13,1,0,0,null
"Spacious 3/2 East Austin Home",3797734,"Leslie And Dylan",null,78702,30.26849,-97.71874,"Entire home/apt",240,4,47,"2018-03-25",0.77,1,0,0,null
"4th St Loft in Downtown Austin!",1654178,"Erik",null,78701,30.26843,-97.74548,"Entire home/apt",178,1,362,"2019-10-25",9.48,1,0,0,null
"Charming Central Austin Apartment",1660476,"Mark",null,78705,30.29905,-97.73881,"Entire home/apt",82,30,0,null,null,2,328,0,null
"""Dream Location, Creative 5-Bedroom House w Jacuzzi""",1666874,"Abbie & Brian",null,78704,30.24583,-97.75472,"Entire home/apt",785,3,47,"2021-10-11",1.87,1,338,11,null
"Central Austin Spacious  Guest House with balcony",1665442,"Lionel & Beth",null,78756,30.32619,-97.74457,"Entire home/apt",91,7,17,"2021-10-08",10,1,256,12,null
